,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,553,DeAngelo Yancey,WR,0.08,-53.72,0,0,0.2,-134.3,,,,,,
,554,Keenan Reynolds,WR,0.04,-53.76,0,0,0.1,-134.4,,,,,,
,555,Josh Bellamy,WR,20.34,-107.41,33,-88.5,0.1,-134.4,38,-94,34,-107,null,
,556,Lucky Whitehead,WR,5.94,-121.81,9.6,-111.9,0.1,-134.4,11,-121,10,-131,,
,557,Anquan Boldin,WR,64.7,-69.8,108.2,-26.8,0,-134.5,106,-26,103,-38,137,2
,558,Marquess Wilson,WR,17.6,-116.9,30.8,-104.2,0,-134.5,22,-110,52,-89,20,-115
,559,Mike Williams,WR,1,-59.55,2,-11.5,0,-134.5,,,,,20,-115
,560,Chris Harper,WR,5.05,-122.7,7.5,-114,0,-134.5,13,-119,-1,-142,,
,561,T.J. Yates,QB,0,-106.56,0,0,0,-266.4,,,,,,
,562,Shaun Draughn,RB,39.75,-96.35,63.5,-64.7,0,-147,80,-52,51,-72,2,-119
,563,David Moore,WR,0,-53.8,0,0,0,-134.5,,,,,,
,564,Alex Collins,RB,10,-101.6,15,-64.2,0,-147,25,-107,,,,
,565,Steven Means,RB,0,-58.8,0,0,0,-147,,,,,,
,566,Corey Grant,RB,12.65,-117.4,18.9,-97.2,0,-147,32,-100,-1,-124,,
,567,Mike Vick,QB,0,-106.56,0,0,0,-266.4,,,,,,
,568,Steve Smith,WR,66.2,-68.3,109.2,-25.8,0,-134.5,116,-16,85,-56,141,6
,569,Shayne Graham,K,0,-49.88,0,0,0,-124.7,,,,,,
,570,Billy Cundiff,K,0,-49.88,0,0,0,-124.7,,,,,,
,571,Shaun Hill,QB,8.45,-218.61,14.9,-172.5,0,-266.4,10,-258,null,,89,-177
,572,Andre Johnson,WR,25.1,-109.4,46,-89,0,-134.5,21,-111,76,-65,106,-29
,573,Josh Brown,K,0,-49.88,0,0,0,-124.7,,,,,,
,574,Tony Romo,QB,21.45,-248.36,41.9,-231,0,-266.4,5,-263,41,-244,266,0
,575,Kellen Winslow,TE,0,-37.36,0,0,0,-93.4,,,,,,
,576,Steven Jackson,RB,8.05,-75.25,16.1,-32.9,0,-147,,,13,-110,122,1
,577,Luke McCown,QB,1.95,-147.36,3.9,-81.6,0,-266.4,,,13,-272,null,
,578,Jerricho Cotchery,WR,13.5,-68.2,27,-28.8,0,-134.5,,,68,-73,66,-69
,579,Josh Scobee,K,0,-49.88,0,0,0,-124.7,,,,,,
,580,Wes Welker,WR,4.4,-77.3,8.8,-47,0,-134.5,,,10,-131,58,-77
,581,Roddy White,WR,15.15,-66.55,30.3,-25.5,0,-134.5,,,57,-84,132,-3
,582,Vincent Jackson,WR,25,-109.5,45.8,-89.2,0,-134.5,21,-111,74,-67,110,-25
,583,Alex Smith,TE,0,-37.36,0,0,0,-93.4,,,,,,
,584,Dan Orlovsky,QB,1.5,-147.81,3,-82.5,0,-266.4,,,10,-275,,
,585,Joshua Cribbs,WR,0,-53.8,0,0,0,-134.5,,,,,,
,586,Nate Washington,WR,17.35,-64.35,34.7,-21.1,0,-134.5,,,90,-51,77,-58
,587,Shaun Suisham,K,0,-49.88,0,0,0,-124.7,,,,,,
,588,Lance Moore,WR,10.1,-71.6,20.2,-35.6,0,-134.5,,,56,-85,34,-101
,589,Reggie Bush,RB,10.9,-125.2,18.4,-109.8,0,-147,17,-115,5,-118,67,-54
,590,DeAngelo Williams,RB,63.45,-72.65,110.1,-18.1,0,-147,84,-48,191,68,24,-97
,591,Greg Jennings,WR,9.55,-72.15,19.1,-36.7,0,-134.5,,,27,-114,110,-25
,592,Devin Hester,WR,3.5,-57.05,7,-6.5,0,-134.5,,,,,70,-65
,593,Tarvaris Jackson,QB,0.15,-149.16,0.3,-85.2,0,-266.4,,,1,-284,null,
,594,Charlie Whitehurst,QB,9.35,-260.46,16.5,-256.4,0,-266.4,11,-257,4,-281,87,-179
,595,Derek Hagan,WR,1.55,-59,3.1,-10.4,0,-134.5,,,,,31,-104
,596,Owen Daniels,TE,14.35,-40.56,28.7,-6.4,0,-93.4,,,70,-17,77,-13
,597,Jason Avant,WR,4.15,-77.55,8.3,-47.5,0,-134.5,,,14,-127,41,-94
,598,Bruce Gradkowski,QB,0,-106.56,0,0,0,-266.4,,,,,null,
,599,Marques Colston,WR,17.6,-64.1,35.2,-20.6,0,-134.5,,,78,-63,118,-17
,600,Miles Austin,WR,7.65,-74.05,15.3,-40.5,0,-134.5,,,28,-113,69,-66
,601,Fred Jackson,RB,13.05,-70.25,26.1,-22.9,0,-147,,,46,-77,123,2
,602,Daniel Fells,TE,2.95,-51.96,5.9,-29.2,0,-93.4,,,6,-81,41,-49
,603,Calvin Johnson,WR,33.75,-47.95,67.5,11.7,0,-134.5,,,173,32,156,21
,604,Dwayne Bowe,WR,4.6,-77.1,9.2,-46.6,0,-134.5,,,5,-136,77,-58
,605,Jacoby Jones,WR,0.55,-60,1.1,-12.4,0,-134.5,,,,,11,-124
,606,Matt Spaeth,TE,0.8,-54.11,1.6,-33.5,0,-93.4,,,1,-86,13,-77
,607,James Jones,WR,26.2,-55.5,52.4,-3.4,0,-134.5,,,141,0,101,-34
,608,Scott Chandler,TE,10.9,-44.01,21.8,-13.3,0,-93.4,,,50,-37,68,-22
,609,Clark Harris,TE,0,-37.36,0,0,0,-93.4,,,,,,
,610,Ahmad Bradshaw,RB,10.8,-72.5,21.6,-27.4,0,-147,,,33,-90,117,-4
,611,Pierre Thomas,RB,6.15,-77.15,12.3,-36.7,0,-147,,,15,-108,78,-43
,612,Eddie Royal,WR,30.05,-104.45,50.3,-84.7,0,-134.5,49,-83,30,-111,119,-16
,613,Jerome Simpson,WR,1.65,-73.3,3.3,-39,0,-134.5,,,11,-130,,
,614,Fred Davis,TE,0,-37.36,0,0,0,-93.4,,,,,,
,615,Harry Douglas,WR,19.55,-114.95,34.9,-100.1,0,-134.5,21,-111,51,-90,70,-65
,616,Craig Stevens,TE,3.75,-51.16,7.5,-27.6,0,-93.4,,,24,-63,3,-87
,617,Andre Jerome Caldwell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,618,Gary Barnidge,TE,54.5,-36.01,94,5.5,0,-93.4,75,-14,158,71,16,-74
,619,Jerome Felton,RB,3.1,-133,4.8,-123.4,0,-147,7,-125,1,-122,3,-118
,620,Jacob Tamme,TE,27.45,-63.06,47.1,-41.4,0,-93.4,39,-50,72,-15,21,-69
,621,Matthew Slater,WR,0,-53.8,0,0,0,-134.5,,,,,,
,622,Kellen Davis,TE,0,-37.36,0,0,0,-93.4,,,,,,
,623,Josh Javon Johnson,QB,0,-106.56,0,0,0,-266.4,,,,,,
,624,Matt Flynn,QB,-0.1,-119.96,-0.2,-26.8,0,-266.4,,,,,-2,-268
,625,Stevie Johnson,WR,0,-53.8,0,0,0,-134.5,,,,,,
,626,Justin Forsett,RB,41,-95.1,73.6,-54.6,0,-147,42,-90,93,-30,205,84
,627,Garrett Hartley,K,0,-49.88,0,0,0,-124.7,,,,,,
,628,Dan Carpenter,K,0,-49.88,0,0,0,-124.7,,,,,,
,629,Matthew Mulligan,TE,0.4,-72.56,0.6,-52.8,0,-93.4,1,-88,null,,null,
,630,Graham Gano,K,0,-49.88,0,0,0,-124.7,,,,,,
,631,Josh Freeman,QB,1.5,-147.81,3,-82.5,0,-266.4,,,10,-275,,
,632,Mark Sanchez,QB,11.9,-150.71,23.8,-88.3,0,-266.4,null,,33,-252,139,-127
,633,Donald Brown,RB,7.85,-75.45,15.7,-33.3,0,-147,,,38,-85,43,-78
,634,Arian Foster,RB,25.25,-110.85,47.9,-80.3,0,-147,13,-119,55,-68,236,115
,635,Rashad Jennings,RB,67.05,-69.05,113.5,-14.7,0,-147,103,-29,136,13,109,-12
,636,Jorvorskie Lane,RB,0.45,-82.85,0.9,-48.1,0,-147,,,1,-122,6,-115
,637,Cedric Peerman,RB,1.15,-116.5,1.9,-89.4,0,-147,2,-130,null,,7,-114
,638,Marcus Thigpen,RB,0,-58.8,0,0,0,-147,,,,,,
,639,James Casey,TE,0,-37.36,0,0,0,-93.4,,,,,,
,640,Chase Coffman,TE,0,-37.36,0,0,0,-93.4,,,,,,
,641,Bear Pascoe,TE,0,-37.36,0,0,0,-93.4,,,,,,
,642,Brandon Pettigrew,TE,2.3,-52.61,4.6,-30.5,0,-93.4,,,13,-74,7,-83
,643,John Phillips,TE,7.45,-83.06,12.3,-76.2,0,-93.4,13,-76,13,-74,6,-84
,644,Brandon Gibson,WR,1.8,-58.75,3.6,-9.9,0,-134.5,,,,,36,-99
,645,Brian Hartline,WR,12.55,-69.15,25.1,-30.7,0,-134.5,,,64,-77,59,-76
,646,Percy Harvin,WR,10,-124.5,19.6,-115.4,0,-134.5,2,-130,35,-106,79,-56
,647,Louis Murphy,WR,5.5,-76.2,11,-44.8,0,-134.5,,,20,-121,50,-85
,648,Hakeem Nicks,WR,4,-77.7,8,-47.8,0,-134.5,,,5,-136,65,-70
,649,Jordan Norwood,WR,12.35,-115.4,20.1,-101.4,0,-134.5,23,-109,21,-120,,
,650,Kevin Ogletree,WR,0.25,-60.3,0.5,-13,0,-134.5,,,,,5,-130
,651,Brandon Myers,TE,8.5,-82.01,14.2,-74.3,0,-93.4,14,-75,13,-74,19,-71
,652,Antone Smith,RB,7.4,-128.7,12.8,-115.4,0,-147,10,-122,1,-122,65,-56
,653,Jimmy Clausen,QB,5.75,-156.86,11.5,-100.6,0,-266.4,,,33,-252,16,-250
,654,Dan LeFevour,QB,0,-106.56,0,0,0,-266.4,,,,,,
,655,Ryan Mathews,RB,71.45,-64.65,116.5,-11.7,0,-147,132,0,105,-18,58,-63
,656,Dexter McCluster,RB,0,-58.8,0,0,0,-147,,,,,,
,657,Ben Tate,RB,3.5,-61.35,7,-5.1,0,-147,,,,,70,-51
,658,Toby Gerhart,RB,4.1,-79.2,8.2,-40.8,0,-147,,,7,-116,61,-60
,659,Boobie Dixon,RB,0,-58.8,0,0,0,-147,,,,,,
,660,James Starks,RB,38.2,-97.9,68,-60.2,0,-147,42,-90,123,0,59,-62
,661,Arrelious Benn,WR,7.2,-99.4,10.8,-68.4,0,-134.5,18,-114,,,,
,662,Marcus Easley,WR,1.8,-73.15,3.6,-38.7,0,-134.5,,,12,-129,,
,663,Riley Cooper,WR,10.45,-71.25,20.9,-34.9,0,-134.5,,,45,-96,74,-61
,664,Dennis Pitta,TE,33.85,-43.61,51.1,-11.3,0,-93.4,83,-6,,,13,-77
,665,Tony Moeaki,TE,2.75,-52.16,5.5,-29.6,0,-93.4,,,12,-75,19,-71
,666,Jim Dray,TE,0,-37.36,0,0,0,-93.4,,,,,,
,667,Garrett Graham,TE,2.65,-52.26,5.3,-29.8,0,-93.4,,,9,-78,26,-64
,668,Clay Harbor,TE,6.1,-84.41,11.8,-76.7,0,-93.4,2,-87,23,-64,37,-53
,669,Marc Mariani,WR,5.3,-122.45,10.2,-111.3,0,-134.5,2,-130,30,-111,,
,670,Anthony McCoy,TE,0,-37.36,0,0,0,-93.4,,,,,,
,671,Andrew Quarless,TE,3.15,-51.76,6.3,-28.8,0,-93.4,,,3,-84,54,-36
,672,Joe Webb,QB,0.1,-119.76,0.2,-26.4,0,-266.4,null,,null,,2,-264
,673,Kyle Williams,WR,0,-53.8,0,0,0,-134.5,,,,,,
,674,Seyi Ajirotutu,WR,0.25,-60.3,0.5,-13,0,-134.5,,,null,,5,-130
,675,Joique Bell,RB,21.2,-62.1,42.4,-6.6,0,-147,null,,86,-37,166,45
,676,Richie Brockel,TE,0,-37.36,0,0,0,-93.4,,,,,,
,677,Jeff Cumberland,TE,3.35,-51.56,6.7,-28.4,0,-93.4,,,8,-79,43,-47
,678,Thaddeus Lewis,QB,0,-106.56,0,0,0,-266.4,,,,,,
,679,Marlon Moore,WR,2.1,-72.85,4.2,-38.1,0,-134.5,,,14,-127,null,
,680,Bryan Walters,WR,20.35,-114.15,33.9,-101.1,0,-134.5,34,-98,43,-98,6,-129
,681,Preston Parker,WR,3.2,-78.5,6.4,-49.4,0,-134.5,,,4,-137,52,-83
,682,Danario Alexander,WR,0,-53.8,0,0,0,-134.5,,,,,,
,683,Tyler Clutts,RB,0,-58.8,0,0,0,-147,,,null,,null,
,684,Andrew Hawkins,WR,29,-105.5,48,-87,0,-134.5,50,-82,28,-113,96,-39
,685,Christian Ponder,QB,0.6,-119.26,1.2,-25.4,0,-266.4,,,,,12,-254
,686,Blaine Gabbert,QB,49,-220.81,83.4,-189.5,0,-266.4,73,-195,130,-155,6,-260
,687,Colin Kaepernick,QB,109.35,-160.46,178.7,-94.2,0,-266.4,200,-68,112,-173,251,-15
,688,Rob Housler,TE,1.1,-53.81,2.2,-32.9,0,-93.4,,,3,-84,13,-77
,689,Leonard Hankerson,WR,7.65,-67.3,15.3,-27,0,-134.5,,,51,-90,null,
,690,Greg Little,WR,0.35,-60.2,0.7,-12.8,0,-134.5,,,,,7,-128
,691,Vincent Brown,WR,0.9,-80.8,1.8,-54,0,-134.5,,,2,-139,12,-123
,692,Stevan Ridley,RB,4.15,-131.95,8.1,-120.1,0,-147,1,-131,9,-114,48,-73
,693,Ryan Williams,RB,0,-58.8,0,0,0,-147,,,,,,
,694,Daniel Thomas,RB,2.05,-62.8,4.1,-8,0,-147,,,,,41,-80
,695,Bruce Miller,TE,0,-37.36,0,0,0,-93.4,,,,,,
,696,David Ausberry,TE,0.05,-41.81,0.1,-8.9,0,-93.4,,,,,1,-89
,697,Greg Salas,WR,7.85,-126.65,12.7,-122.3,0,-134.5,15,-117,4,-137,25,-110
,698,Denarius Moore,WR,0.5,-60.05,1,-12.5,0,-134.5,,,,,10,-125
,699,D.J. Williams,TE,0,-37.36,0,0,0,-93.4,,,,,,
,700,Kendall Hunter,RB,0,-58.8,0,0,0,-147,,,null,,,
,701,Taiwan Jones,RB,4.9,-125.15,9,-107.1,0,-147,4,-128,22,-101,,
,702,Cecil Shorts,WR,19.55,-114.95,36.1,-98.9,0,-134.5,15,-117,68,-73,67,-68
,703,Jordan Todman,RB,5.2,-130.9,9.2,-119,0,-147,6,-126,2,-121,50,-71
,704,Jordan Cameron,TE,16.05,-74.46,29.7,-58.8,0,-93.4,12,-77,57,-30,54,-36
,705,Roy Helu,RB,6.8,-76.5,13.6,-35.4,0,-147,,,17,-106,85,-36
,706,DuJuan Harris,RB,15.25,-120.85,25.1,-103.1,0,-147,27,-105,27,-96,8,-113
,707,Jerrod Johnson,QB,0,-106.56,0,0,0,-266.4,,,,,,
,708,Ricardo Lockette,WR,3.55,-78.15,7.1,-48.7,0,-134.5,,,13,-128,32,-103
,709,Matt Asiata,RB,51.5,-84.6,82.8,-45.4,0,-147,101,-31,24,-99,150,29
,710,Joe Morgan,WR,0.8,-59.75,1.6,-11.9,0,-134.5,,,,,16,-119
,711,Jeremy Ross,WR,6.1,-128.4,10.2,-124.8,0,-134.5,10,-122,3,-138,33,-102
,712,Chase Reynolds,RB,0,-58.8,0,0,0,-147,null,,,,,
,713,Will Johnson,RB,1.7,-81.6,3.4,-45.6,0,-147,,,10,-113,4,-117
,714,Robert Griffin,QB,30.85,-196.21,48.5,-138.9,0,-266.4,66,-202,,,89,-177
,715,Ryan Tannehill,QB,129.6,-140.21,220.8,-52.1,0,-266.4,192,-76,259,-26,279,13
,716,Brandon Weeden,QB,10.9,-151.71,21.8,-90.3,0,-266.4,,,66,-219,20,-246
,717,Brock Osweiler,QB,85.35,-184.46,137.1,-135.8,0,-266.4,168,-100,119,-166,6,-260
,718,Ryan Lindley,QB,2,-160.61,4,-108.1,0,-266.4,,,6,-279,22,-244
,719,Trent Richardson,RB,4.55,-60.3,9.1,-3,0,-147,,,,,91,-30
,720,Isaiah Pead,RB,0.9,-129.15,1.2,-114.9,0,-147,3,-129,-2,-125,,
,721,Chris Polk,RB,10.55,-72.75,21.1,-27.9,0,-147,,,56,-67,43,-78
,722,LaMike James,RB,0,-58.8,0,0,0,-147,,,,,,
,723,Bernard Pierce,RB,2.7,-80.6,5.4,-43.6,0,-147,,,2,-121,48,-73
,724,Cyrus Gray,RB,0.45,-64.4,0.9,-11.2,0,-147,,,,,9,-112
,725,Vick Ballard,RB,0,-58.8,0,0,0,-147,,,,,,
,726,Orson Charles,TE,0,-37.36,0,0,0,-93.4,,,,,,
,727,Ladarius Green,TE,27,-63.51,46.4,-42.1,0,-93.4,38,-51,71,-16,23,-67
,728,Justin Blackmon,WR,0,-53.8,0,0,0,-134.5,,,,,,
,729,Stephen Hill,WR,0,-53.8,0,0,0,-134.5,,,,,,
,730,Rueben Randle,WR,24.8,-56.9,49.6,-6.2,0,-134.5,,,128,-13,112,-23
,731,Brian Quick,WR,33.9,-100.6,53,-82,0,-134.5,74,-58,10,-131,56,-79
,732,Keshawn Martin,WR,0,-53.8,0,0,0,-134.5,,,,,,
,733,Trevor Graham,WR,0,-53.8,0,0,0,-134.5,,,,,,
,734,Nick Toon,WR,0,-53.8,0,0,0,-134.5,,,,,,
,735,DeVier Posey,WR,0.15,-60.4,0.3,-13.2,0,-134.5,,,,,3,-132
,736,LaVon Brazill,WR,0,-53.8,0,0,0,-134.5,,,,,,
,737,Daniel Herron,RB,0,-58.8,0,0,0,-147,,,,,,
,738,Chris Givens,WR,7.55,-74.15,15.1,-40.7,0,-134.5,,,43,-98,22,-113
,739,Randy Bullock,K,0,-49.88,0,0,0,-124.7,,,,,,
,740,Bryce Brown,RB,3.35,-79.95,6.7,-42.3,0,-147,,,13,-110,28,-93
,741,Daryl Richardson,RB,0.4,-111.2,0.6,-78.6,0,-147,1,-131,,,,
,742,Greg Scruggs,TE,0,-37.36,0,0,0,-93.4,,,,,,
,743,Kashif Moore,WR,0,-53.8,0,0,0,-134.5,,,,,,
,744,Austin Davis,QB,8.25,-154.36,16.5,-95.6,0,-266.4,,,19,-266,108,-158
,745,Nathan Palmer,WR,0,-53.8,0,0,0,-134.5,,,,,,
,746,Chris Owusu,WR,2.3,-79.4,4.6,-51.2,0,-134.5,,,8,-133,22,-113
,747,Brian Tyms,WR,0.7,-59.85,1.4,-12.1,0,-134.5,,,,,14,-121
,748,Joe Banyard,RB,1.15,-116.5,2.1,-89.2,0,-147,1,-131,null,,15,-106
,749,Jeff Fuller,WR,0,-53.8,0,0,0,-134.5,,,,,,
,750,Derrick Coleman,RB,0.9,-82.4,1.8,-47.2,0,-147,,,3,-120,9,-112
,751,Jarrett Boykin,WR,0.1,-60.45,0.2,-13.3,0,-134.5,,,,,2,-133
,752,Griff Whalen,WR,4.25,-123.5,8.1,-113.4,0,-134.5,2,-130,23,-118,null,
,753,Jonas Gray,RB,7.35,-75.95,14.7,-34.3,0,-147,,,25,-98,72,-49
,754,Dominique Jones,TE,4.8,-68.16,7.2,-46.2,0,-93.4,12,-77,,,null,
,755,Derek Carrier,TE,4.75,-85.76,8.9,-79.6,0,-93.4,3,-86,20,-67,11,-79
,756,Matt Simms,QB,0.1,-119.76,0.2,-26.4,0,-266.4,,,,,2,-264
,757,Travaris Cadet,RB,27.55,-108.55,44.3,-83.9,0,-147,54,-78,28,-95,35,-86
,758,Brandon Bolden,RB,9.25,-126.85,18.1,-110.1,0,-147,2,-130,51,-72,16,-105
,759,LaRon Byrd,WR,0,-53.8,0,0,0,-134.5,,,,,,
,760,Damaris Johnson,WR,2.2,-79.5,4.4,-51.4,0,-134.5,,,1,-140,41,-94
,761,Jonathan Grimes,RB,18.5,-117.6,33,-95.2,0,-147,20,-112,62,-61,24,-97
,762,Chase Ford,TE,1.6,-40.26,3.2,-5.8,0,-93.4,,,,,32,-58
,763,Cooper Helfet,TE,3.5,-51.41,7,-28.1,0,-93.4,,,13,-74,31,-59
,764,Brandon Bostick,TE,2.7,-74.76,4.2,-58.2,0,-93.4,6,-83,,,6,-84
,765,Alex Tanney,QB,1.2,-148.11,2.4,-83.1,0,-266.4,,,8,-277,,
,766,Josh Gordon,WR,1.5,-59.05,3,-10.5,0,-134.5,,,,,30,-105
,767,Brandon Bogotay,K,0,-49.88,0,0,0,-124.7,,,,,,
,768,EJ Manuel,QB,11.6,-258.21,21.8,-251.1,0,-266.4,7,-261,39,-246,59,-207
,769,Stedman Bailey,WR,6.15,-75.55,12.3,-43.5,0,-134.5,,,24,-117,51,-84
,770,Montee Ball,RB,1.35,-63.5,2.7,-9.4,0,-147,,,,,27,-94
,771,Knile Davis,RB,9.35,-126.75,17.7,-110.5,0,-147,5,-127,16,-107,99,-22
,772,Aaron Dobson,WR,2.3,-79.4,4.6,-51.2,0,-134.5,,,14,-127,4,-131
,773,Gavin Escobar,TE,6.85,-83.66,11.9,-76.6,0,-93.4,9,-80,10,-77,35,-55
,774,Christine Michael,RB,51.65,-84.45,79.9,-48.3,0,-147,117,-15,26,-97,19,-102
,775,Charles D. Johnson,WR,0,-53.8,0,0,0,-134.5,,,,,,
,776,Ryan Nassib,QB,1.15,-161.46,2.3,-109.8,0,-266.4,,,7,-278,2,-264
,777,Sean Renfree,QB,0,-106.56,0,0,0,-266.4,,,null,,,
,778,B.J. Daniels,WR,0.45,-74.5,0.9,-41.4,0,-134.5,,,3,-138,,
,779,Michael Williams,TE,0.45,-49.96,0.9,-25.2,0,-93.4,,,3,-84,,
,780,Zac Dysert,QB,0,-106.56,0,0,0,-266.4,,,,,,
,781,Denard Robinson,RB,18.4,-117.7,33.4,-94.8,0,-147,17,-115,47,-76,91,-30
,782,Mike James,RB,1.75,-115.9,2.7,-88.6,0,-147,4,-128,,,3,-118
,783,Tommy Bohanon,RB,1.05,-82.25,2.1,-46.9,0,-147,,,6,-117,3,-118
,784,Stepfan Taylor,RB,4.05,-132.05,7.9,-120.3,0,-147,1,-131,6,-117,55,-66
,785,Cobi Hamilton,WR,14,-92.6,21,-58.2,0,-134.5,35,-97,,,null,
,786,Justice Cunningham,TE,0,-37.36,0,0,0,-93.4,,,,,,
,787,Zac Stacy,RB,5.5,-77.8,11,-38,0,-147,,,21,-102,47,-74
,788,Josh Boyce,WR,0,-53.8,0,0,0,-134.5,,,,,,
,789,Joseph Randle,RB,12.15,-71.15,24.3,-24.7,0,-147,,,64,-59,51,-70
,790,Corey Fuller,WR,2.15,-79.55,4.3,-51.5,0,-134.5,,,6,-135,25,-110
,791,Quinton Patton,WR,23.5,-111,38.8,-96.2,0,-134.5,41,-91,46,-95,4,-131
,792,Kendall Gaskins,RB,1.65,-75.6,3.3,-33.6,0,-147,,,11,-112,,
,793,Steven Miller,RB,0,-58.8,0,0,0,-147,,,,,,
,794,Ryan Griffin,QB,0,-106.56,0,0,0,-266.4,,,,,,
,795,Da'Rick Rogers,WR,0,-53.8,0,0,0,-134.5,,,,,,
,796,Chris Pantale,TE,0,-37.36,0,0,0,-93.4,,,,,,
,797,Ryan Spadola,WR,0,-53.8,0,0,0,-134.5,,,,,,
,798,Tyler Bray,QB,0,-106.56,0,0,0,-266.4,,,,,,
,799,Timothy Wright,TE,0,-37.36,0,0,0,-93.4,,,,,,
,800,Brandon Williams,TE,0,-37.36,0,0,0,-93.4,,,,,,
,801,Nick Williams,WR,6.6,-121.15,12,-109.5,0,-134.5,6,-126,28,-113,,
,802,Zach Line,RB,0,-58.8,0,0,0,-147,,,,,,
,803,Rodney Smith,WR,0,-53.8,0,0,0,-134.5,,,,,,
,804,Kenbrell Thompkins,WR,3.9,-77.8,7.8,-48,0,-134.5,,,17,-124,27,-108
,805,Zach Sudfeld,TE,0.45,-41.41,0.9,-8.1,0,-93.4,,,,,9,-81
,806,George Winn,RB,0.35,-64.5,0.7,-11.4,0,-147,,,null,,7,-114
,807,Jake Stoneburner,TE,2.55,-47.86,5.1,-21,0,-93.4,,,17,-70,,
,808,Khiry Robinson,RB,10.95,-72.35,21.9,-27.1,0,-147,null,,54,-69,57,-64
,809,Myles White,WR,2.25,-72.7,4.5,-37.8,0,-134.5,,,15,-126,,
,810,Marlon Brown,WR,2.95,-78.75,5.9,-49.9,0,-134.5,,,11,-130,26,-109
,811,Matt McGloin,QB,2.85,-266.96,5.3,-267.6,0,-266.4,2,-266,12,-273,5,-261
,812,Johnny Manziel,QB,14.85,-147.76,29.7,-82.4,0,-266.4,,,95,-190,12,-254
,813,Dri Archer,RB,0,-58.8,0,0,0,-147,,,,,,
,814,Crockett Gillmore,TE,15.85,-74.66,29.1,-59.4,0,-93.4,13,-76,65,-22,18,-72
,815,Josh Huff,WR,15.4,-119.1,27,-108,0,-134.5,19,-113,49,-92,9,-126
,816,Tre Mason,RB,11.05,-72.25,22.1,-26.9,0,-147,,,34,-89,119,-2
,817,Jace Amaro,TE,4.85,-72.61,8.5,-53.9,0,-93.4,6,-83,,,49,-41
,818,Bishop Sankey,RB,10.35,-72.95,20.7,-28.3,0,-147,,,43,-80,78,-43
,819,Shaq Evans,WR,0,-53.8,0,0,0,-134.5,,,,,,
,820,Tajh Boyd,QB,0,-106.56,0,0,0,-266.4,,,,,,
,821,Zach Mettenberger,QB,10.15,-152.46,20.3,-91.8,0,-266.4,,,44,-241,71,-195
,822,David Fales,QB,0.4,-213.36,0.6,-160.2,0,-266.4,1,-267,,,,
,823,Jeremy Gallon,WR,0,-53.8,0,0,0,-134.5,,,,,,
,824,Tyler Gaffney,RB,0,-58.8,0,0,0,-147,,,,,,
,825,Kevin Norwood,WR,0,-53.8,0,0,0,-134.5,,,,,,
,826,Storm Johnson,RB,1,-63.85,2,-10.1,0,-147,,,,,20,-101
,827,Lache Seastrunk,RB,0,-58.8,0,0,0,-147,,,,,,
,828,Keith Wenning,QB,0,-106.56,0,0,0,-266.4,,,,,,
,829,Zach Hocker,K,0,-49.88,0,0,0,-124.7,,,,,,
,830,Jalen Saunders,WR,-0.05,-60.6,-0.1,-13.6,0,-134.5,,,,,-1,-136
,831,Ka'Deem Carey,RB,13.4,-122.7,23.2,-105,0,-147,18,-114,34,-89,22,-99
,832,Marion Grice,RB,0.65,-64.2,1.3,-10.8,0,-147,,,,,13,-108
,833,Aaron Murray,QB,0,-106.56,0,0,0,-266.4,,,,,,
,834,Devin Street,WR,3.15,-131.35,5.9,-129.1,0,-134.5,2,-130,15,-126,2,-133
,835,Corey Washington,WR,0.55,-60,1.1,-12.4,0,-134.5,,,,,11,-124
,836,Juwan Thompson,RB,7.5,-128.6,13.2,-115,0,-147,9,-123,10,-113,48,-73
,837,Robert Herron,WR,0.6,-59.95,1.2,-12.3,0,-134.5,,,,,12,-123
,838,Antonio Andrews,RB,14.5,-121.6,28.6,-99.6,0,-147,2,-130,91,-32,1,-120
,839,Darrin Reaves,RB,0.55,-64.3,1.1,-11,0,-147,,,,,11,-110
,840,Travis Coons,K,0,-49.88,0,0,0,-124.7,,,,,,
,841,Silas Redd,RB,1.2,-63.65,2.4,-9.7,0,-147,,,,,24,-97
,842,Cody Parkey,K,0,-49.88,0,0,0,-124.7,,,,,,
,843,Patrick Murray,K,0,-49.88,0,0,0,-124.7,,,,,,
,844,Frankie Hammond,WR,0,-53.8,0,0,0,-134.5,,,,,,
,845,Trey Watts,RB,0,-58.8,0,0,0,-147,,,,,,
,846,Austin Johnson,RB,2,-81.3,4,-45,0,-147,,,10,-113,10,-111
,847,Brian Leonhardt,TE,0.5,-41.36,1,-8,0,-93.4,,,null,,10,-80
,848,James Wright,WR,4.6,-108.75,7.2,-85.5,0,-134.5,10,-122,,,12,-123
,849,Isaiah Burse,WR,0,-53.8,0,0,0,-134.5,,,,,,
,850,Jeremy Butler,WR,5.8,-121.95,11.4,-110.1,0,-134.5,1,-131,36,-105,,
,851,Damian Copeland,WR,0,-53.8,0,0,0,-134.5,,,,,,
,852,Jonathan Krause,WR,0.15,-74.8,0.3,-42,0,-134.5,,,1,-140,,
