,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,98,Blair Walsh,K,51.88,2,0,0,129.7,5,,,,,,
,99,Eddie Lacy,RB,97.14,-38.96,82.8,-45.4,129.6,-17.4,39,-93,121,-2,231,110
,100,Jordan Reed,TE,119.64,29.13,114.6,26.1,129.6,36.2,105,16,157,70,45,-45
,101,Mike Gillislee,RB,105.34,-24.71,84,-32.1,129.1,-17.9,117,-15,46,-77,,
,102,Chris Boswell,K,51.44,1.56,0,0,128.6,3.9,,,,,,
,103,Tevin Coleman,RB,121.51,-8.54,108.3,-7.8,128.4,-18.6,160,28,41,-82,,
,104,Mike Glennon,QB,58.98,-168.08,14.4,-173,127.2,-139.2,9,-259,,,90,-176
,105,Brandon Marshall,WR,129.8,-4.7,139,4,126.5,-8,97,-35,230,89,118,-17
,106,Sebastian Janikowski,K,50.28,0.4,0,0,125.7,1,,,,,,
,107,Jarvis Landry,WR,133.54,-0.96,139.6,4.6,125.1,-9.4,137,5,159,18,97,-38
,108,Jamison Crowder,WR,111.21,-16.54,97.5,-24,124.9,-9.6,125,-7,75,-66,,
,109,Dustin Hopkins,K,49.88,0,0,0,124.7,0,,,,,,
,110,Willie Snead,WR,115.28,-12.47,106.8,-14.7,124.7,-9.8,120,-12,116,-25,,
,111,Wil Lutz,K,49.8,-0.08,0,0,124.5,-0.2,,,,,,
,112,Caleb Sturgis,K,49.68,-0.2,0,0,124.2,-0.5,,,,,,
,113,Keenan Allen,WR,71.49,-63.01,42.5,-92.5,124.1,-10.4,6,-126,97,-44,98,-37
,114,Jonathan Stewart,RB,132.94,-3.16,139,10.8,124.1,-22.9,138,6,147,24,121,0
,115,Donte Moncrief,WR,98.19,-36.31,82.9,-52.1,123.6,-10.9,73,-59,109,-32,64,-71
,116,Phil Dawson,K,49.44,-0.44,0,0,123.6,-1.1,,,,,,
,117,Nick Novak,K,49.36,-0.52,0,0,123.4,-1.3,,,,,,
,118,Jake Elliott,K,49.36,-0.52,0,0,123.4,-1.3,,,,,,
,119,Kai Forbath,K,49.36,-0.52,0,0,123.4,-1.3,,,,,,
,120,Josh Lambo,K,49.2,-0.68,0,0,123,-1.7,,,,,,
,121,Cairo Santos,K,49.16,-0.72,0,0,122.9,-1.8,,,,,,
,122,Matt Forte,RB,148.8,12.7,168.8,40.6,122.5,-24.5,154,22,173,50,245,124
,123,Pierre Garcon,WR,119.77,-14.73,117.3,-17.7,122.3,-12.2,122,-10,116,-25,93,-42
,124,Jason Myers,K,48.84,-1.04,0,0,122.1,-2.6,,,,,,
,125,DeSean Jackson,WR,117.75,-16.75,112.9,-22.1,122,-12.5,125,-7,75,-66,154,19
,126,Stefon Diggs,WR,106.71,-21.04,94.5,-27,121.4,-13.1,109,-23,97,-44,,
,127,Randall Cobb,WR,112.42,-22.08,110.2,-24.8,121.3,-13.2,88,-44,124,-17,202,67
,128,Nick Folk,K,48.4,-1.48,0,0,121,-3.7,,,,,,
,129,Doug Martin,RB,109.89,-26.21,109.7,-18.5,119.6,-27.4,72,-60,199,76,68,-53
,130,Jimmy Graham,TE,115.06,24.55,111.4,22.9,117.4,24,124,35,75,-12,145,55
,131,Kenny Britt,WR,115.72,-18.78,112,-23,117.3,-17.2,128,-4,86,-55,94,-41
,132,Ryan Succop,K,46.84,-3.04,0,0,117.1,-7.6,,,,,,
,133,Danny Woodhead,RB,79.96,-56.14,62.2,-66,116.9,-30.1,21,-111,163,40,7,-114
,134,Marvin Jones,WR,109.63,-18.12,102.9,-18.6,116.2,-18.3,117,-15,109,-32,,
,135,Giovani Bernard,RB,106.65,-29.45,103.9,-24.3,116,-31,83,-49,132,9,145,24
,136,Darren McFadden,RB,77.81,-58.29,61.3,-66.9,115.4,-31.6,10,-122,156,33,85,-36
,137,Brandon McManus,K,46.12,-3.76,0,0,115.3,-9.4,,,,,,
,138,Jeremy Maclin,WR,106.24,-28.26,106.8,-28.2,115.1,-19.4,68,-64,156,15,192,57
,139,Stephen Hauschka,K,45.8,-4.08,0,0,114.5,-10.2,,,,,,
,140,Kyle Rudolph,TE,110.59,20.08,104.3,15.8,114.1,20.7,128,39,80,-7,35,-55
,141,Duke Johnson,RB,97.33,-32.72,85.5,-30.6,113.7,-33.3,91,-41,103,-20,,
,142,Eric Decker,WR,89.81,-44.69,83.1,-51.9,112.9,-21.6,31,-101,173,32,126,-9
,143,Cameron Meredith,WR,92.12,-35.63,71.4,-50.1,112.8,-21.7,113,-19,12,-129,,
,144,Tyrell Williams,WR,106.53,-21.22,93.3,-28.2,112.7,-21.8,148,16,15,-126,,
,145,Adam Thielen,WR,99.57,-34.93,84.5,-50.5,111.8,-22.7,126,-6,23,-118,20,-115
,146,Theo Riddick,RB,106.1,-30,101.2,-27,111.5,-35.5,109,-23,99,-24,61,-60
,147,LeGarrette Blount,RB,156.83,20.73,179.5,51.3,111.2,-35.8,226,94,117,-6,88,-33
,148,Jaguars D/ST,D/ST,44.4,6.24,0,0,111,15.6,,,,,,
,149,Connor Barth,K,44.36,-5.52,0,0,110.9,-13.8,,,,,,
,150,Corey Davis,WR,43.96,-9.84,0,0,109.9,-24.6,,,,,,
,151,Mike Wallace,WR,112.58,-21.92,111.2,-23.8,109.7,-24.8,131,-1,60,-81,146,11
,152,Torrey Smith,WR,82.79,-51.71,68.9,-66.1,109.6,-24.9,45,-87,92,-49,143,8
,153,Ted Ginn,WR,107.76,-26.74,107,-28,109.4,-25.1,105,-27,140,-1,20,-115
,154,Seahawks D/ST,D/ST,43.72,5.56,0,0,109.3,13.9,,,,,,
,155,Robbie Gould,K,43.68,-6.2,0,0,109.2,-15.5,,,,,,
,156,Jordan Matthews,WR,112.69,-21.81,118.5,-16.5,108.1,-26.4,102,-30,146,5,135,0
,157,Greg Zuerlein,K,42.96,-6.92,0,0,107.4,-17.3,,,,,,
,158,Zane Gonzalez,K,42.48,-7.4,0,0,106.2,-18.5,,,,,,
,159,Darren Sproles,RB,106.31,-29.79,105.7,-22.5,105.9,-41.1,111,-21,95,-28,106,-15
,160,Steelers D/ST,D/ST,42.32,4.16,0,0,105.8,10.4,,,,,,
,161,Rams D/ST,D/ST,42.28,4.12,0,0,105.7,10.3,,,,,,
,162,Rishard Matthews,WR,116.71,-17.79,119.3,-15.7,105.4,-29.1,149,17,91,-50,26,-109
,163,Bengals D/ST,D/ST,42.12,3.96,0,0,105.3,9.9,,,,,,
,164,Mike Nugent,K,42.12,-7.76,0,0,105.3,-19.4,,,,,,
,165,Delanie Walker,TE,119.11,28.6,130.1,41.6,104.4,11,123,34,150,63,113,23
,166,Josh McCown,QB,89.15,-180.66,84.7,-188.2,104,-162.4,52,-216,136,-149,127,-139
,167,Zach Ertz,TE,102.51,12,100.7,12.2,103.9,10.5,106,17,95,8,86,-4
,168,Cardinals D/ST,D/ST,41.48,3.32,0,0,103.7,8.3,,,,,,
,169,Chargers D/ST,D/ST,41.4,3.24,0,0,103.5,8.1,,,,,,
,170,Kareem Hunt,RB,41.36,-17.44,0,0,103.4,-43.6,,,,,,
,171,Vikings D/ST,D/ST,41.24,3.08,0,0,103.1,7.7,,,,,,
,172,Broncos D/ST,D/ST,40.72,2.56,0,0,101.8,6.4,,,,,,
,173,Texans D/ST,D/ST,40.72,2.56,0,0,101.8,6.4,,,,,,
,174,Marqise Lee,WR,91.12,-43.38,79,-56,101.8,-32.7,109,-23,29,-112,49,-86
,175,Ravens D/ST,D/ST,40.6,2.44,0,0,101.5,6.1,,,,,,
,176,Derrick Henry,RB,77.8,-33.8,55.8,-23.4,101.5,-45.5,93,-39,,,,
,177,Chandler Catanzaro,K,40.28,-9.6,0,0,100.7,-24,,,,,,
