Taken,Rank,Name,Position,ProjectPointsAverage,ProjectedVBDAverage,PointsAverage,VBDAverage,BestPointsYear,BestVBDYear,Points_2016,VBD_2016,Team_2016,Points_2015,VBD_2015,Team_2015,Points_2014,VBD_2014,Team_2014,Points_2013,VBD_2013,Team_2013 
,277,Jordan Howard,RB,35.340,0.000,undefined,undefined,,,93.00,0.000,Chi,,,,,,,,,
,280,Tyler Boyd,WR,35.101,0.000,undefined,undefined,,,92.37,0.000,Cin,,,,,,,,,
,288,Tajae Sharpe,WR,33.847,0.000,undefined,undefined,,,89.07,0.000,Ten,,,,,,,,,
,310,Breshad Perriman,WR,29.287,0.000,undefined,undefined,,,77.07,0.000,Bal,,,,,,,,,
,311,Josh Doctson,WR,28.986,0.000,undefined,undefined,,,76.28,0.000,Was,,,,,,,,,
,313,Devontae Booker,RB,28.781,0.000,undefined,undefined,,,75.74,0.000,Den,,,,,,,,,
,322,Paul Perkins,RB,26.345,0.000,undefined,undefined,,,69.33,0.000,NYG,,,,,,,,,
,663,Logan Paulsen,TE,1.938,0.000,undefined,undefined,,,5.10,0.000,Was,,,,,,,,,
,349,Pharoh Cooper,WR,21.858,0.000,undefined,undefined,,,57.52,0.000,LA,,,,,,,,,
,360,Eli Rogers,WR,20.189,0.000,undefined,undefined,,,53.13,0.000,Pit,,,,,,,,,
,362,DeAndre Washington,RB,20.015,0.000,undefined,undefined,,,52.67,0.000,Oak,,,,,,,,,
,372,Rob Kelley,RB,18.118,0.000,undefined,undefined,,,47.68,0.000,Was,,,,,,,,,
,382,J.J. Nelson,WR,16.671,0.000,undefined,undefined,,,43.87,0.000,Ari,,,,,,,,,
,384,Josh Ferguson,RB,16.496,0.000,undefined,undefined,,,43.41,0.000,Ind,,,,,,,,,
,398,C.J. Prosise,RB,15.485,0.000,undefined,undefined,,,40.75,0.000,Sea,,,,,,,,,
,412,Hunter Henry,TE,14.090,0.000,undefined,undefined,,,37.08,0.000,SD,,,,,,,,,
,420,Braxton Miller,WR,13.638,0.000,undefined,undefined,,,35.89,0.000,Hou,,,,,,,,,
,423,TJ Jones,WR,13.536,0.000,undefined,undefined,,,35.62,0.000,Det,,,,,,,,,
,425,Quan Bray,WR,13.456,0.000,undefined,undefined,,,35.41,0.000,Ind,,,,,,,,,
,426,Leonte Carroo,WR,13.300,0.000,undefined,undefined,,,35.00,0.000,Mia,,,,,,,,,
,437,Tyler Ervin,RB,12.635,0.000,undefined,undefined,,,33.25,0.000,Hou,,,,,,,,,
,440,Paxton Lynch,QB,12.384,0.000,undefined,undefined,,,32.59,0.000,Den,,,,,,,,,
,443,DeAndre Smelter,WR,11.818,0.000,undefined,undefined,,,31.10,0.000,SF,,,,,,,,,
,456,Wendell Smallwood,RB,11.096,0.000,undefined,undefined,,,29.20,0.000,Phi,,,,,,,,,
,460,Austin Hooper,TE,10.663,0.000,undefined,undefined,,,28.06,0.000,Atl,,,,,,,,,
,465,Kenneth Dixon,RB,10.256,0.000,undefined,undefined,,,26.99,0.000,Bal,,,,,,,,,
,467,Carson Wentz,QB,10.218,0.000,undefined,undefined,,,26.89,0.000,Phi,,,,,,,,,
,477,Malcolm Mitchell,WR,9.523,0.000,undefined,undefined,,,25.06,0.000,NE,,,,,,,,,
,478,Jeff Heuerman,TE,9.523,0.000,undefined,undefined,,,25.06,0.000,Den,,,,,,,,,
,479,Rashard Higgins,WR,9.466,0.000,undefined,undefined,,,24.91,0.000,Cle,,,,,,,,,
,482,Tyler Higbee,TE,9.363,0.000,undefined,undefined,,,24.64,0.000,LA,,,,,,,,,
,497,Jared Goff,QB,8.466,0.000,undefined,undefined,,,22.28,0.000,LA,,,,,,,,,
,498,Trevone Boykin,QB,8.417,0.000,undefined,undefined,,,22.15,0.000,Sea,,,,,,,,,
,502,Kenyan Drake,RB,8.090,0.000,undefined,undefined,,,21.29,0.000,Mia,,,,,,,,,
,522,Dezmin Lewis,WR,7.121,0.000,undefined,undefined,,,18.74,0.000,Buf,,,,,,,,,
,523,Dreamius Smith,RB,7.053,0.000,undefined,undefined,,,18.56,0.000,SD,,,,,,,,,
,530,Charone Peake,WR,6.722,0.000,undefined,undefined,,,17.69,0.000,NYJ,,,,,,,,,
,584,Tyler Gaffney,RB,4.381,0.000,undefined,undefined,,,11.53,0.000,NE,,,,,,,,,
,588,Dwayne Washington,RB,4.252,0.000,undefined,undefined,,,11.19,0.000,Det,,,,,,,,,
,608,Jonathan Williams,RB,3.747,0.000,undefined,undefined,,,9.86,0.000,Buf,,,,,,,,,
,609,Chris Moore,WR,3.735,0.000,undefined,undefined,,,9.83,0.000,Bal,,,,,,,,,
,613,Nick Vannett,TE,3.561,0.000,undefined,undefined,,,9.37,0.000,Sea,,,,,,,,,
,616,Aaron Burbridge,WR,3.405,0.000,undefined,undefined,,,8.96,0.000,SF,,,,,,,,,
,617,Dres Anderson,WR,3.405,0.000,undefined,undefined,,,8.96,0.000,SF,,,,,,,,,
,620,Raheem Mostert,RB,3.302,0.000,undefined,undefined,,,8.69,0.000,Cle,,,,,,,,,
,631,MarQuez North,WR,2.861,0.000,undefined,undefined,,,7.53,0.000,LA,,,,,,,,,
,632,Tyreek Hill,WR,2.854,0.000,undefined,undefined,,,7.51,0.000,KC,,,,,,,,,
,639,George Atkinson,RB,2.561,0.000,undefined,undefined,,,6.74,0.000,Oak,,,,,,,,,
,655,Taylor Heinicke,QB,2.269,0.000,undefined,undefined,,,5.97,0.000,Min,,,,,,,,,
,657,Jerell Adams,TE,2.234,0.000,undefined,undefined,,,5.88,0.000,NYG,,,,,,,,,
,673,Ben Braunecker,TE,1.839,0.000,undefined,undefined,,,4.84,0.000,Chi,,,,,,,,,
,674,Roger Lewis,WR,1.801,0.000,undefined,undefined,,,4.74,0.000,NYG,,,,,,,,,
,675,Jordan Payton,WR,1.775,0.000,undefined,undefined,,,4.67,0.000,Cle,,,,,,,,,
,683,Erik Swoope,TE,1.729,0.000,undefined,undefined,,,4.55,0.000,Ind,,,,,,,,,
,684,Trevor Davis,WR,1.718,0.000,undefined,undefined,,,4.52,0.000,GB,,,,,,,,,
,685,Cardale Jones,QB,1.710,0.000,undefined,undefined,,,4.50,0.000,Buf,,,,,,,,,
,686,Kolby Listenbee,WR,1.706,0.000,undefined,undefined,,,4.49,0.000,Buf,,,,,,,,,
,689,Kenny Bell,WR,1.653,0.000,undefined,undefined,,,4.35,0.000,TB,,,,,,,,,
,690,Alex Collins,RB,1.645,0.000,undefined,undefined,,,4.33,0.000,Sea,,,,,,,,,
,698,AJ McCarron,QB,1.569,0.000,undefined,undefined,,,4.13,0.000,Cin,,,,,,,,,
,699,Cody Core,WR,1.524,0.000,undefined,undefined,,,4.01,0.000,Cin,,,,,,,,,
,708,Joshua Bellamy,WR,1.360,0.000,undefined,undefined,,,3.58,0.000,Chi,,,,,,,,,
